PERFORMANCE BENCHMARK REPORT
Generated: 2/6/2026, 12:19:47 AM

BENCHMARK TEST RESULTS
Test Name,Timestamp,Avg Response Time (ms),Throughput (req/s),Memory Usage (MB),Success Rate (%)
"Load Test - 1000 Users",2025-12-31 10:45:23,12.4,8547,247,99.97
"Stress Test - 5000 Users",2025-12-31 09:30:15,45.8,6234,512,99.82

ALGORITHM COMPARISON - RESPONSE TIME (ms)
Load Level,Trie,HashMap,Hybrid
10 users,8,12,6
100 users,15,28,12
500 users,42,89,35
1K users,78,156,65
5K users,245,512,198
10K users,487,1024,389

ALGORITHM COMPARISON - THROUGHPUT (req/s)
Load Level,Trie,HashMap,Hybrid
10 users,950,820,1100
100 users,8500,7200,9800
500 users,35000,28000,42000
1K users,65000,48000,78000
5K users,245000,180000,298000
10K users,420000,310000,512000

COMPLEXITY ANALYSIS
Algorithm,Best Case,Average Case,Worst Case,Space Complexity,Description
"Trie Autocomplete",O(k),O(k),O(k),O(n*k),"Prefix-based search with optimal lookup time"
"HashMap Frequency",O(1),O(1),O(n),O(n),"Constant-time frequency tracking with collision handling"
"Hybrid Intelligence",O(k),O(k + log n),O(k*n),O(n*k + n),"Combined approach with priority queue ranking"
"Edit Distance (Spell Check)",O(m*n),O(m*n),O(m*n),O(m*n),"Dynamic programming for string similarity"
